"date","health_board","lockdown_status","admission_type","count"
2020-04-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",20
2020-04-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",66
2020-04-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",86
2020-04-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",25
2020-04-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",43
2020-04-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",68
2020-04-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",23
2020-04-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",39
2020-04-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",62
2020-04-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",24
2020-04-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",70
2020-04-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",94
2020-04-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",15
2020-04-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",34
2020-04-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",49
2020-04-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",17
2020-04-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",38
2020-04-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",55
2020-04-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",27
2020-04-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",39
2020-04-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",66
2020-04-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",36
2020-04-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",27
2020-04-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",63
2020-04-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",32
2020-04-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",49
2020-04-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",81
2020-04-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",19
2020-04-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",21
2020-04-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",40
2020-04-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",11
2020-04-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",42
2020-04-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",53
2020-04-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",33
2020-04-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",14
2020-04-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",47
2020-04-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",5
2020-04-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",24
2020-04-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",29
2020-04-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",16
2020-04-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",34
2020-04-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",50
2020-04-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",11
2020-04-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",65
2020-04-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",76
2020-04-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",12
2020-04-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",45
2020-04-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",57
2020-04-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",26
2020-04-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",54
2020-04-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",80
2020-04-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",15
2020-04-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",45
2020-04-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",60
2020-04-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",12
2020-04-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",27
2020-04-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",39
