"date","health_board","admission_type","count"
2020-04-01,"Betsi Cadwaladr University Health Board","C19",28
2020-04-01,"Betsi Cadwaladr University Health Board","NonC19",98
2020-04-01,"Betsi Cadwaladr University Health Board","All",126
2020-04-01,"Hywel Dda University Health Board","C19",16
2020-04-01,"Hywel Dda University Health Board","NonC19",63
2020-04-01,"Hywel Dda University Health Board","All",79
2020-04-01,"Abertawe Bro Morgannwg University Health Board","C19",20
2020-04-01,"Abertawe Bro Morgannwg University Health Board","NonC19",66
2020-04-01,"Abertawe Bro Morgannwg University Health Board","All",86
2020-04-01,"Cardiff and Vale University Health Board","C19",16
2020-04-01,"Cardiff and Vale University Health Board","NonC19",177
2020-04-01,"Cardiff and Vale University Health Board","All",193
2020-04-01,"Cwm Taf University Health Board","C19",53
2020-04-01,"Cwm Taf University Health Board","NonC19",40
2020-04-01,"Cwm Taf University Health Board","All",93
2020-04-01,"Aneurin Bevan University Health Board","C19",74
2020-04-01,"Aneurin Bevan University Health Board","NonC19",55
2020-04-01,"Aneurin Bevan University Health Board","All",129
2020-04-01,"Velindre University NHS Trust","C19",0
2020-04-01,"Velindre University NHS Trust","NonC19",6
2020-04-01,"Velindre University NHS Trust","All",6
2020-04-01,"Wales","C19",207
2020-04-01,"Wales","NonC19",505
2020-04-01,"Wales","All",712
2020-04-02,"Betsi Cadwaladr University Health Board","C19",23
2020-04-02,"Betsi Cadwaladr University Health Board","NonC19",87
2020-04-02,"Betsi Cadwaladr University Health Board","All",110
2020-04-02,"Hywel Dda University Health Board","C19",15
2020-04-02,"Hywel Dda University Health Board","NonC19",67
2020-04-02,"Hywel Dda University Health Board","All",82
2020-04-02,"Abertawe Bro Morgannwg University Health Board","C19",25
2020-04-02,"Abertawe Bro Morgannwg University Health Board","NonC19",43
2020-04-02,"Abertawe Bro Morgannwg University Health Board","All",68
2020-04-02,"Cardiff and Vale University Health Board","C19",20
2020-04-02,"Cardiff and Vale University Health Board","NonC19",190
2020-04-02,"Cardiff and Vale University Health Board","All",210
2020-04-02,"Cwm Taf University Health Board","C19",27
2020-04-02,"Cwm Taf University Health Board","NonC19",77
2020-04-02,"Cwm Taf University Health Board","All",104
2020-04-02,"Aneurin Bevan University Health Board","C19",29
2020-04-02,"Aneurin Bevan University Health Board","NonC19",61
2020-04-02,"Aneurin Bevan University Health Board","All",90
2020-04-02,"Velindre University NHS Trust","C19",0
2020-04-02,"Velindre University NHS Trust","NonC19",4
2020-04-02,"Velindre University NHS Trust","All",4
2020-04-02,"Wales","C19",139
2020-04-02,"Wales","NonC19",529
2020-04-02,"Wales","All",668
2020-04-03,"Betsi Cadwaladr University Health Board","C19",9
2020-04-03,"Betsi Cadwaladr University Health Board","NonC19",82
2020-04-03,"Betsi Cadwaladr University Health Board","All",91
2020-04-03,"Hywel Dda University Health Board","C19",10
2020-04-03,"Hywel Dda University Health Board","NonC19",55
2020-04-03,"Hywel Dda University Health Board","All",65
2020-04-03,"Abertawe Bro Morgannwg University Health Board","C19",23
2020-04-03,"Abertawe Bro Morgannwg University Health Board","NonC19",39
2020-04-03,"Abertawe Bro Morgannwg University Health Board","All",62
2020-04-03,"Cardiff and Vale University Health Board","C19",13
2020-04-03,"Cardiff and Vale University Health Board","NonC19",169
2020-04-03,"Cardiff and Vale University Health Board","All",182
2020-04-03,"Cwm Taf University Health Board","C19",23
2020-04-03,"Cwm Taf University Health Board","NonC19",75
2020-04-03,"Cwm Taf University Health Board","All",98
2020-04-03,"Aneurin Bevan University Health Board","C19",31
2020-04-03,"Aneurin Bevan University Health Board","NonC19",152
2020-04-03,"Aneurin Bevan University Health Board","All",183
2020-04-03,"Velindre University NHS Trust","C19",1
2020-04-03,"Velindre University NHS Trust","NonC19",1
