"date","health_board","Suspected","Confirmed","Recovering","total_hospitalisations","new_admissions","prev_day_beds_occupied","difference"
2020-04-01,"Abertawe Bro Morgannwg University Health Board",74,49,NA,123,20,NA,NA
2020-04-02,"Abertawe Bro Morgannwg University Health Board",81,59,NA,140,25,123,-8
2020-04-03,"Abertawe Bro Morgannwg University Health Board",77,72,NA,149,23,140,-14
2020-04-04,"Abertawe Bro Morgannwg University Health Board",65,78,NA,143,24,149,-30
2020-04-05,"Abertawe Bro Morgannwg University Health Board",68,105,NA,173,15,143,15
2020-04-06,"Abertawe Bro Morgannwg University Health Board",63,112,NA,175,17,173,-15
2020-04-07,"Abertawe Bro Morgannwg University Health Board",52,138,NA,190,27,175,-12
2020-04-08,"Abertawe Bro Morgannwg University Health Board",55,151,NA,206,36,190,-20
2020-04-09,"Abertawe Bro Morgannwg University Health Board",65,158,NA,223,32,206,-15
2020-04-10,"Abertawe Bro Morgannwg University Health Board",70,189,NA,259,19,223,17
2020-04-11,"Abertawe Bro Morgannwg University Health Board",50,157,NA,207,11,259,-63
2020-04-12,"Abertawe Bro Morgannwg University Health Board",58,170,NA,228,33,207,-12
2020-04-13,"Abertawe Bro Morgannwg University Health Board",65,162,NA,227,5,228,-6
2020-04-14,"Abertawe Bro Morgannwg University Health Board",52,177,NA,229,16,227,-14
2020-04-15,"Abertawe Bro Morgannwg University Health Board",62,174,NA,236,11,229,-4
2020-04-16,"Abertawe Bro Morgannwg University Health Board",82,169,NA,251,12,236,3
2020-04-17,"Abertawe Bro Morgannwg University Health Board",67,165,NA,232,26,251,-45
2020-04-18,"Abertawe Bro Morgannwg University Health Board",58,174,NA,232,15,232,-15
2020-04-19,"Abertawe Bro Morgannwg University Health Board",57,163,NA,220,12,232,-24
2020-04-20,"Abertawe Bro Morgannwg University Health Board",61,168,NA,229,9,220,0
2020-04-21,"Abertawe Bro Morgannwg University Health Board",61,159,NA,220,25,229,-34
2020-04-22,"Abertawe Bro Morgannwg University Health Board",66,148,NA,214,12,220,-18
2020-04-23,"Abertawe Bro Morgannwg University Health Board",48,148,NA,196,18,214,-36
2020-04-24,"Abertawe Bro Morgannwg University Health Board",57,149,NA,206,23,196,-13
2020-04-25,"Abertawe Bro Morgannwg University Health Board",51,144,NA,195,13,206,-24
2020-04-26,"Abertawe Bro Morgannwg University Health Board",55,141,NA,196,24,195,-23
2020-04-27,"Abertawe Bro Morgannwg University Health Board",36,148,NA,184,13,196,-25
2020-04-28,"Abertawe Bro Morgannwg University Health Board",45,125,NA,170,16,184,-30
2020-04-29,"Abertawe Bro Morgannwg University Health Board",55,110,NA,165,22,170,-27
2020-04-30,"Abertawe Bro Morgannwg University Health Board",61,114,NA,175,12,165,-2
2020-05-01,"Abertawe Bro Morgannwg University Health Board",62,101,NA,163,9,175,-21
2020-05-02,"Abertawe Bro Morgannwg University Health Board",54,103,NA,157,23,163,-29
2020-05-03,"Abertawe Bro Morgannwg University Health Board",58,99,NA,157,15,157,-15
2020-05-04,"Abertawe Bro Morgannwg University Health Board",55,97,NA,152,18,157,-23
2020-05-05,"Abertawe Bro Morgannwg University Health Board",46,93,NA,139,12,152,-25
2020-05-06,"Abertawe Bro Morgannwg University Health Board",41,87,NA,128,16,139,-27
2020-05-07,"Abertawe Bro Morgannwg University Health Board",22,83,NA,105,12,128,-35
2020-05-08,"Abertawe Bro Morgannwg University Health Board",33,60,NA,93,12,105,-24
2020-05-09,"Abertawe Bro Morgannwg University Health Board",44,76,NA,120,25,93,2
