"date","indicator","count"
2020-04-01,"CO_GABed_C19_Con",149
2020-04-01,"CO_GABed_C19_Sus",92
2020-04-01,"CO_GABed_NonC19",348
2020-04-01,"CO_GABed_Spare",524
2020-04-01,"CO_IVBed_C19_Con",18
2020-04-01,"CO_IVBed_C19_Sus",5
2020-04-01,"CO_IVBed_NonC19",4
2020-04-01,"CO_IVBed_Spare",2
2020-04-02,"CO_GABed_C19_Con",154
2020-04-02,"CO_GABed_C19_Sus",51
2020-04-02,"CO_GABed_NonC19",345
2020-04-02,"CO_GABed_Spare",567
2020-04-02,"CO_IVBed_C19_Con",21
2020-04-02,"CO_IVBed_C19_Sus",6
2020-04-02,"CO_IVBed_NonC19",0
2020-04-02,"CO_IVBed_Spare",15
2020-04-03,"CO_GABed_C19_Con",158
2020-04-03,"CO_GABed_C19_Sus",58
2020-04-03,"CO_GABed_NonC19",308
2020-04-03,"CO_GABed_Spare",597
2020-04-03,"CO_IVBed_C19_Con",25
2020-04-03,"CO_IVBed_C19_Sus",3
2020-04-03,"CO_IVBed_NonC19",2
2020-04-03,"CO_IVBed_Spare",15
2020-04-04,"CO_GABed_C19_Con",163
2020-04-04,"CO_GABed_C19_Sus",56
2020-04-04,"CO_GABed_NonC19",294
2020-04-04,"CO_GABed_Spare",655
2020-04-04,"CO_IVBed_C19_Con",27
2020-04-04,"CO_IVBed_C19_Sus",6
2020-04-04,"CO_IVBed_NonC19",2
2020-04-04,"CO_IVBed_Spare",16
2020-04-05,"CO_GABed_C19_Con",162
2020-04-05,"CO_GABed_C19_Sus",69
2020-04-05,"CO_GABed_NonC19",243
2020-04-05,"CO_GABed_Spare",654
2020-04-05,"CO_IVBed_C19_Con",27
2020-04-05,"CO_IVBed_C19_Sus",9
2020-04-05,"CO_IVBed_NonC19",4
2020-04-05,"CO_IVBed_Spare",11
2020-04-06,"CO_GABed_C19_Con",159
2020-04-06,"CO_GABed_C19_Sus",67
2020-04-06,"CO_GABed_NonC19",281
2020-04-06,"CO_GABed_Spare",615
2020-04-06,"CO_IVBed_C19_Con",30
2020-04-06,"CO_IVBed_C19_Sus",7
2020-04-06,"CO_IVBed_NonC19",3
2020-04-06,"CO_IVBed_Spare",17
2020-04-07,"CO_GABed_C19_Con",147
2020-04-07,"CO_GABed_C19_Sus",61
2020-04-07,"CO_GABed_NonC19",284
2020-04-07,"CO_GABed_Spare",630
2020-04-07,"CO_IVBed_C19_Con",29
2020-04-07,"CO_IVBed_C19_Sus",8
2020-04-07,"CO_IVBed_NonC19",5
2020-04-07,"CO_IVBed_Spare",15
2020-04-08,"CO_GABed_C19_Con",167
2020-04-08,"CO_GABed_C19_Sus",72
