"date","indicator","count"
2020-04-01,"CO_GABed_C19_Con",21
2020-04-01,"CO_GABed_C19_Sus",72
2020-04-01,"CO_GABed_NonC19",656
2020-04-01,"CO_GABed_Spare",499
2020-04-01,"CO_IVBed_C19_Con",8
2020-04-01,"CO_IVBed_C19_Sus",6
2020-04-01,"CO_IVBed_NonC19",5
2020-04-01,"CO_IVBed_Spare",25
2020-04-02,"CO_GABed_C19_Con",23
2020-04-02,"CO_GABed_C19_Sus",45
2020-04-02,"CO_GABed_NonC19",610
2020-04-02,"CO_GABed_Spare",572
2020-04-02,"CO_IVBed_C19_Con",11
2020-04-02,"CO_IVBed_C19_Sus",6
2020-04-02,"CO_IVBed_NonC19",10
2020-04-02,"CO_IVBed_Spare",17
2020-04-03,"CO_GABed_C19_Con",28
2020-04-03,"CO_GABed_C19_Sus",55
2020-04-03,"CO_GABed_NonC19",596
2020-04-03,"CO_GABed_Spare",569
2020-04-03,"CO_IVBed_C19_Con",10
2020-04-03,"CO_IVBed_C19_Sus",6
2020-04-03,"CO_IVBed_NonC19",11
2020-04-03,"CO_IVBed_Spare",19
2020-04-04,"CO_GABed_C19_Con",34
2020-04-04,"CO_GABed_C19_Sus",55
2020-04-04,"CO_GABed_NonC19",600
2020-04-04,"CO_GABed_Spare",556
2020-04-04,"CO_IVBed_C19_Con",12
2020-04-04,"CO_IVBed_C19_Sus",2
2020-04-04,"CO_IVBed_NonC19",21
2020-04-04,"CO_IVBed_Spare",21
2020-04-05,"CO_GABed_C19_Con",34
2020-04-05,"CO_GABed_C19_Sus",64
2020-04-05,"CO_GABed_NonC19",722
2020-04-05,"CO_GABed_Spare",336
2020-04-05,"CO_IVBed_C19_Con",12
2020-04-05,"CO_IVBed_C19_Sus",10
2020-04-05,"CO_IVBed_NonC19",8
2020-04-05,"CO_IVBed_Spare",27
2020-04-06,"CO_GABed_C19_Con",52
2020-04-06,"CO_GABed_C19_Sus",46
2020-04-06,"CO_GABed_NonC19",715
2020-04-06,"CO_GABed_Spare",346
2020-04-06,"CO_IVBed_C19_Con",12
2020-04-06,"CO_IVBed_C19_Sus",6
2020-04-06,"CO_IVBed_NonC19",8
2020-04-06,"CO_IVBed_Spare",30
2020-04-07,"CO_GABed_C19_Con",49
2020-04-07,"CO_GABed_C19_Sus",54
2020-04-07,"CO_GABed_NonC19",615
2020-04-07,"CO_GABed_Spare",525
2020-04-07,"CO_IVBed_C19_Con",11
2020-04-07,"CO_IVBed_C19_Sus",8
2020-04-07,"CO_IVBed_NonC19",10
2020-04-07,"CO_IVBed_Spare",30
2020-04-08,"CO_GABed_C19_Con",52
2020-04-08,"CO_GABed_C19_Sus",63
2020-04-08,"CO_GABed_NonC19",551
2020-04-08,"CO_GABed_Spare",580
2020-04-08,"CO_IVBed_C19_Con",14
2020-04-08,"CO_IVBed_C19_Sus",10
2020-04-08,"CO_IVBed_NonC19",8
2020-04-08,"CO_IVBed_Spare",30
2020-04-09,"CO_GABed_C19_Con",52
2020-04-09,"CO_GABed_C19_Sus",72
2020-04-09,"CO_GABed_NonC19",536
2020-04-09,"CO_GABed_Spare",580
2020-04-09,"CO_IVBed_C19_Con",9
2020-04-09,"CO_IVBed_C19_Sus",11
2020-04-09,"CO_IVBed_NonC19",12
2020-04-09,"CO_IVBed_Spare",30
2020-04-10,"CO_GABed_C19_Con",65
2020-04-10,"CO_GABed_C19_Sus",70
2020-04-10,"CO_GABed_NonC19",513
2020-04-10,"CO_GABed_Spare",588
2020-04-10,"CO_IVBed_C19_Con",16
2020-04-10,"CO_IVBed_C19_Sus",2
2020-04-10,"CO_IVBed_NonC19",16
2020-04-10,"CO_IVBed_Spare",28
2020-04-11,"CO_GABed_C19_Con",78
2020-04-11,"CO_GABed_C19_Sus",61
2020-04-11,"CO_GABed_NonC19",530
2020-04-11,"CO_GABed_Spare",567
2020-04-11,"CO_IVBed_C19_Con",14
2020-04-11,"CO_IVBed_C19_Sus",1
2020-04-11,"CO_IVBed_NonC19",12
2020-04-11,"CO_IVBed_Spare",35
2020-04-12,"CO_GABed_C19_Con",88
2020-04-12,"CO_GABed_C19_Sus",68
2020-04-12,"CO_GABed_NonC19",541
2020-04-12,"CO_GABed_Spare",539
2020-04-12,"CO_IVBed_C19_Con",14
2020-04-12,"CO_IVBed_C19_Sus",4
2020-04-12,"CO_IVBed_NonC19",11
2020-04-12,"CO_IVBed_Spare",33
2020-04-13,"CO_GABed_C19_Con",82
2020-04-13,"CO_GABed_C19_Sus",61
2020-04-13,"CO_GABed_NonC19",542
2020-04-13,"CO_GABed_Spare",551
2020-04-13,"CO_IVBed_C19_Con",13
2020-04-13,"CO_IVBed_C19_Sus",7
2020-04-13,"CO_IVBed_NonC19",9
2020-04-13,"CO_IVBed_Spare",33
2020-04-14,"CO_GABed_C19_Con",97
2020-04-14,"CO_GABed_C19_Sus",67
2020-04-14,"CO_GABed_NonC19",530
2020-04-14,"CO_GABed_Spare",527
2020-04-14,"CO_IVBed_C19_Con",11
2020-04-14,"CO_IVBed_C19_Sus",7
2020-04-14,"CO_IVBed_NonC19",6
2020-04-14,"CO_IVBed_Spare",38
2020-04-15,"CO_GABed_C19_Con",101
2020-04-15,"CO_GABed_C19_Sus",64
2020-04-15,"CO_GABed_NonC19",545
2020-04-15,"CO_GABed_Spare",521
2020-04-15,"CO_IVBed_C19_Con",11
2020-04-15,"CO_IVBed_C19_Sus",7
2020-04-15,"CO_IVBed_NonC19",5
2020-04-15,"CO_IVBed_Spare",39
2020-04-16,"CO_GABed_C19_Con",83
2020-04-16,"CO_GABed_C19_Sus",86
2020-04-16,"CO_GABed_NonC19",490
2020-04-16,"CO_GABed_Spare",583
2020-04-16,"CO_IVBed_C19_Con",12
2020-04-16,"CO_IVBed_C19_Sus",6
2020-04-16,"CO_IVBed_NonC19",5
2020-04-16,"CO_IVBed_Spare",39
2020-04-17,"CO_GABed_C19_Con",88
2020-04-17,"CO_GABed_C19_Sus",105
2020-04-17,"CO_GABed_NonC19",487
2020-04-17,"CO_GABed_Spare",557
2020-04-17,"CO_IVBed_C19_Con",12
2020-04-17,"CO_IVBed_C19_Sus",10
2020-04-17,"CO_IVBed_NonC19",5
2020-04-17,"CO_IVBed_Spare",35
2020-04-18,"CO_GABed_C19_Con",111
2020-04-18,"CO_GABed_C19_Sus",110
2020-04-18,"CO_GABed_NonC19",517
2020-04-18,"CO_GABed_Spare",497
2020-04-18,"CO_IVBed_C19_Con",15
2020-04-18,"CO_IVBed_C19_Sus",10
2020-04-18,"CO_IVBed_NonC19",9
2020-04-18,"CO_IVBed_Spare",28
2020-04-19,"CO_GABed_C19_Con",105
2020-04-19,"CO_GABed_C19_Sus",103
2020-04-19,"CO_GABed_NonC19",535
2020-04-19,"CO_GABed_Spare",492
2020-04-19,"CO_IVBed_C19_Con",15
2020-04-19,"CO_IVBed_C19_Sus",9
2020-04-19,"CO_IVBed_NonC19",8
2020-04-19,"CO_IVBed_Spare",30
2020-04-20,"CO_GABed_C19_Con",110
2020-04-20,"CO_GABed_C19_Sus",91
2020-04-20,"CO_GABed_NonC19",575
2020-04-20,"CO_GABed_Spare",460
2020-04-20,"CO_IVBed_C19_Con",16
2020-04-20,"CO_IVBed_C19_Sus",4
2020-04-20,"CO_IVBed_NonC19",4
2020-04-20,"CO_IVBed_Spare",38
2020-04-21,"CO_GABed_C19_Con",114
2020-04-21,"CO_GABed_C19_Sus",64
2020-04-21,"CO_GABed_NonC19",549
2020-04-21,"CO_GABed_Spare",477
2020-04-21,"CO_IVBed_C19_Con",13
2020-04-21,"CO_IVBed_C19_Sus",6
2020-04-21,"CO_IVBed_NonC19",6
2020-04-21,"CO_IVBed_Spare",41
2020-04-22,"CO_GABed_C19_Con",105
2020-04-22,"CO_GABed_C19_Sus",89
2020-04-22,"CO_GABed_NonC19",533
2020-04-22,"CO_GABed_Spare",477
2020-04-22,"CO_IVBed_C19_Con",10
2020-04-22,"CO_IVBed_C19_Sus",6
2020-04-22,"CO_IVBed_NonC19",6
2020-04-22,"CO_IVBed_Spare",44
2020-04-23,"CO_GABed_C19_Con",148
2020-04-23,"CO_GABed_C19_Sus",125
2020-04-23,"CO_GABed_NonC19",811
2020-04-23,"CO_GABed_Spare",657
2020-04-23,"CO_IVBed_C19_Con",15
2020-04-23,"CO_IVBed_C19_Sus",4
2020-04-23,"CO_IVBed_NonC19",6
