"date","indicator","count"
2020-04-01,"CO_GABed_C19_Con",44
2020-04-01,"CO_GABed_C19_Sus",67
2020-04-01,"CO_GABed_NonC19",486
2020-04-01,"CO_GABed_Spare",353
2020-04-01,"CO_IVBed_C19_Con",15
2020-04-01,"CO_IVBed_C19_Sus",1
2020-04-01,"CO_IVBed_NonC19",7
2020-04-01,"CO_IVBed_Spare",34
2020-04-02,"CO_GABed_C19_Con",51
2020-04-02,"CO_GABed_C19_Sus",71
2020-04-02,"CO_GABed_NonC19",492
2020-04-02,"CO_GABed_Spare",352
2020-04-02,"CO_IVBed_C19_Con",14
2020-04-02,"CO_IVBed_C19_Sus",4
2020-04-02,"CO_IVBed_NonC19",7
2020-04-02,"CO_IVBed_Spare",32
2020-04-03,"CO_GABed_C19_Con",65
2020-04-03,"CO_GABed_C19_Sus",59
2020-04-03,"CO_GABed_NonC19",446
2020-04-03,"CO_GABed_Spare",385
2020-04-03,"CO_IVBed_C19_Con",17
2020-04-03,"CO_IVBed_C19_Sus",3
2020-04-03,"CO_IVBed_NonC19",6
2020-04-03,"CO_IVBed_Spare",31
2020-04-04,"CO_GABed_C19_Con",73
2020-04-04,"CO_GABed_C19_Sus",49
2020-04-04,"CO_GABed_NonC19",371
2020-04-04,"CO_GABed_Spare",441
2020-04-04,"CO_IVBed_C19_Con",21
2020-04-04,"CO_IVBed_C19_Sus",3
2020-04-04,"CO_IVBed_NonC19",5
2020-04-04,"CO_IVBed_Spare",23
2020-04-05,"CO_GABed_C19_Con",91
2020-04-05,"CO_GABed_C19_Sus",43
2020-04-05,"CO_GABed_NonC19",424
2020-04-05,"CO_GABed_Spare",378
2020-04-05,"CO_IVBed_C19_Con",22
2020-04-05,"CO_IVBed_C19_Sus",1
2020-04-05,"CO_IVBed_NonC19",4
2020-04-05,"CO_IVBed_Spare",25
2020-04-06,"CO_GABed_C19_Con",111
2020-04-06,"CO_GABed_C19_Sus",45
2020-04-06,"CO_GABed_NonC19",372
2020-04-06,"CO_GABed_Spare",408
2020-04-06,"CO_IVBed_C19_Con",22
2020-04-06,"CO_IVBed_C19_Sus",4
2020-04-06,"CO_IVBed_NonC19",5
2020-04-06,"CO_IVBed_Spare",21
2020-04-07,"CO_GABed_C19_Con",112
2020-04-07,"CO_GABed_C19_Sus",48
2020-04-07,"CO_GABed_NonC19",373
2020-04-07,"CO_GABed_Spare",403
