"Date","health_board","Indicator_Code","Count"
2020-04-01,"Betsi Cadwaladr University Health Board","CO_GABed_C19",93
2020-04-01,"Betsi Cadwaladr University Health Board","CO_GABed_NonC19",656
2020-04-01,"Betsi Cadwaladr University Health Board","CO_GABed_Spare",499
2020-04-01,"Betsi Cadwaladr University Health Board","CO_IVBed_C19",14
2020-04-01,"Betsi Cadwaladr University Health Board","CO_IVBed_NonC19",5
2020-04-01,"Betsi Cadwaladr University Health Board","CO_IVBed_Spare",25
2020-04-01,"Hywel Dda University Health Board","CO_GABed_C19",68
2020-04-01,"Hywel Dda University Health Board","CO_GABed_NonC19",312
2020-04-01,"Hywel Dda University Health Board","CO_GABed_Spare",445
2020-04-01,"Hywel Dda University Health Board","CO_IVBed_C19",5
2020-04-01,"Hywel Dda University Health Board","CO_IVBed_NonC19",9
2020-04-01,"Hywel Dda University Health Board","CO_IVBed_Spare",32
2020-04-01,"Abertawe Bro Morgannwg University Health Board","CO_GABed_C19",100
2020-04-01,"Abertawe Bro Morgannwg University Health Board","CO_GABed_NonC19",515
2020-04-01,"Abertawe Bro Morgannwg University Health Board","CO_GABed_Spare",423
2020-04-01,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_C19",23
2020-04-01,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_NonC19",10
2020-04-01,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_Spare",58
2020-04-01,"Cardiff and Vale University Health Board","CO_GABed_C19",158
2020-04-01,"Cardiff and Vale University Health Board","CO_GABed_NonC19",510
2020-04-01,"Cardiff and Vale University Health Board","CO_GABed_Spare",683
2020-04-01,"Cardiff and Vale University Health Board","CO_IVBed_C19",19
2020-04-01,"Cardiff and Vale University Health Board","CO_IVBed_NonC19",13
2020-04-01,"Cardiff and Vale University Health Board","CO_IVBed_Spare",31
2020-04-01,"Cwm Taf University Health Board","CO_GABed_C19",111
2020-04-01,"Cwm Taf University Health Board","CO_GABed_NonC19",486
2020-04-01,"Cwm Taf University Health Board","CO_GABed_Spare",353
2020-04-01,"Cwm Taf University Health Board","CO_IVBed_C19",16
2020-04-01,"Cwm Taf University Health Board","CO_IVBed_NonC19",7
2020-04-01,"Cwm Taf University Health Board","CO_IVBed_Spare",34
2020-04-01,"Aneurin Bevan University Health Board","CO_GABed_C19",241
2020-04-01,"Aneurin Bevan University Health Board","CO_GABed_NonC19",348
2020-04-01,"Aneurin Bevan University Health Board","CO_GABed_Spare",524
2020-04-01,"Aneurin Bevan University Health Board","CO_IVBed_C19",23
2020-04-01,"Aneurin Bevan University Health Board","CO_IVBed_NonC19",4
2020-04-01,"Aneurin Bevan University Health Board","CO_IVBed_Spare",2
2020-04-01,"Velindre University NHS Trust","CO_GABed_C19",11
2020-04-01,"Velindre University NHS Trust","CO_GABed_NonC19",1
2020-04-01,"Velindre University NHS Trust","CO_GABed_Spare",18
2020-04-01,"Velindre University NHS Trust","CO_IVBed_C19",0
2020-04-01,"Velindre University NHS Trust","CO_IVBed_NonC19",0
2020-04-01,"Velindre University NHS Trust","CO_IVBed_Spare",0
2020-04-01,"Wales","CO_GABed_C19",782
2020-04-01,"Wales","CO_GABed_NonC19",2828
2020-04-01,"Wales","CO_GABed_Spare",2945
2020-04-01,"Wales","CO_IVBed_C19",100
2020-04-01,"Wales","CO_IVBed_NonC19",48
2020-04-01,"Wales","CO_IVBed_Spare",182
2020-04-02,"Betsi Cadwaladr University Health Board","CO_GABed_C19",68
2020-04-02,"Betsi Cadwaladr University Health Board","CO_GABed_NonC19",610
2020-04-02,"Betsi Cadwaladr University Health Board","CO_GABed_Spare",572
2020-04-02,"Betsi Cadwaladr University Health Board","CO_IVBed_C19",17
2020-04-02,"Betsi Cadwaladr University Health Board","CO_IVBed_NonC19",10
2020-04-02,"Betsi Cadwaladr University Health Board","CO_IVBed_Spare",17
2020-04-02,"Hywel Dda University Health Board","CO_GABed_C19",70
2020-04-02,"Hywel Dda University Health Board","CO_GABed_NonC19",313
2020-04-02,"Hywel Dda University Health Board","CO_GABed_Spare",449
2020-04-02,"Hywel Dda University Health Board","CO_IVBed_C19",4
2020-04-02,"Hywel Dda University Health Board","CO_IVBed_NonC19",6
2020-04-02,"Hywel Dda University Health Board","CO_IVBed_Spare",36
2020-04-02,"Abertawe Bro Morgannwg University Health Board","CO_GABed_C19",119
2020-04-02,"Abertawe Bro Morgannwg University Health Board","CO_GABed_NonC19",536
2020-04-02,"Abertawe Bro Morgannwg University Health Board","CO_GABed_Spare",366
2020-04-02,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_C19",21
2020-04-02,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_NonC19",13
2020-04-02,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_Spare",57
2020-04-02,"Cardiff and Vale University Health Board","CO_GABed_C19",160
2020-04-02,"Cardiff and Vale University Health Board","CO_GABed_NonC19",565
2020-04-02,"Cardiff and Vale University Health Board","CO_GABed_Spare",620
2020-04-02,"Cardiff and Vale University Health Board","CO_IVBed_C19",23
2020-04-02,"Cardiff and Vale University Health Board","CO_IVBed_NonC19",15
2020-04-02,"Cardiff and Vale University Health Board","CO_IVBed_Spare",17
2020-04-02,"Cwm Taf University Health Board","CO_GABed_C19",122
2020-04-02,"Cwm Taf University Health Board","CO_GABed_NonC19",492
2020-04-02,"Cwm Taf University Health Board","CO_GABed_Spare",352
2020-04-02,"Cwm Taf University Health Board","CO_IVBed_C19",18
2020-04-02,"Cwm Taf University Health Board","CO_IVBed_NonC19",7
2020-04-02,"Cwm Taf University Health Board","CO_IVBed_Spare",32
2020-04-02,"Aneurin Bevan University Health Board","CO_GABed_C19",205
2020-04-02,"Aneurin Bevan University Health Board","CO_GABed_NonC19",345
2020-04-02,"Aneurin Bevan University Health Board","CO_GABed_Spare",567
2020-04-02,"Aneurin Bevan University Health Board","CO_IVBed_C19",27
2020-04-02,"Aneurin Bevan University Health Board","CO_IVBed_NonC19",0
2020-04-02,"Aneurin Bevan University Health Board","CO_IVBed_Spare",15
2020-04-02,"Velindre University NHS Trust","CO_GABed_C19",11
2020-04-02,"Velindre University NHS Trust","CO_GABed_NonC19",0
2020-04-02,"Velindre University NHS Trust","CO_GABed_Spare",19
2020-04-02,"Velindre University NHS Trust","CO_IVBed_C19",0
2020-04-02,"Velindre University NHS Trust","CO_IVBed_NonC19",0
2020-04-02,"Velindre University NHS Trust","CO_IVBed_Spare",0
2020-04-02,"Wales","CO_GABed_C19",755
2020-04-02,"Wales","CO_GABed_NonC19",2861
2020-04-02,"Wales","CO_GABed_Spare",2945
2020-04-02,"Wales","CO_IVBed_C19",110
2020-04-02,"Wales","CO_IVBed_NonC19",51
