"Date","health_board","CO_GABed_C19","CO_GABed_NonC19","CO_GABed_Spare","CO_GABed_Tot","CO_IVBed_C19","CO_IVBed_NonC19","CO_IVBed_Spare","CO_IVBed_Tot"
2020-04-01,"Betsi Cadwaladr University Health Board",93,656,499,1248,14,5,25,44
2020-04-01,"Hywel Dda University Health Board",68,312,445,825,5,9,32,46
2020-04-01,"Abertawe Bro Morgannwg University Health Board",100,515,423,1038,23,10,58,91
2020-04-01,"Cardiff and Vale University Health Board",158,510,683,1351,19,13,31,63
2020-04-01,"Cwm Taf University Health Board",111,486,353,950,16,7,34,57
2020-04-01,"Aneurin Bevan University Health Board",241,348,524,1113,23,4,2,29
2020-04-01,"Velindre University NHS Trust",11,1,18,30,0,0,0,0
2020-04-01,"Wales",782,2828,2945,6555,100,48,182,330
2020-04-02,"Betsi Cadwaladr University Health Board",68,610,572,1250,17,10,17,44
2020-04-02,"Hywel Dda University Health Board",70,313,449,832,4,6,36,46
2020-04-02,"Abertawe Bro Morgannwg University Health Board",119,536,366,1021,21,13,57,91
2020-04-02,"Cardiff and Vale University Health Board",160,565,620,1345,23,15,17,55
2020-04-02,"Cwm Taf University Health Board",122,492,352,966,18,7,32,57
2020-04-02,"Aneurin Bevan University Health Board",205,345,567,1117,27,0,15,42
2020-04-02,"Velindre University NHS Trust",11,0,19,30,0,0,0,0
2020-04-02,"Wales",755,2861,2945,6561,110,51,174,335
2020-04-03,"Betsi Cadwaladr University Health Board",83,596,569,1248,16,11,19,46
2020-04-03,"Hywel Dda University Health Board",77,285,463,825,3,6,37,46
2020-04-03,"Abertawe Bro Morgannwg University Health Board",129,501,404,1034,20,17,54,91
2020-04-03,"Cardiff and Vale University Health Board",160,511,680,1351,23,17,23,63
2020-04-03,"Cwm Taf University Health Board",124,446,385,955,20,6,31,57
2020-04-03,"Aneurin Bevan University Health Board",216,308,597,1121,28,2,15,45
2020-04-03,"Velindre University NHS Trust",12,1,17,30,0,0,0,0
2020-04-03,"Wales",801,2648,3115,6564,110,59,179,348
2020-04-04,"Betsi Cadwaladr University Health Board",89,600,556,1245,14,21,21,56
2020-04-04,"Hywel Dda University Health Board",62,103,648,813,2,6,35,43
2020-04-04,"Abertawe Bro Morgannwg University Health Board",123,565,257,945,20,15,56,91
2020-04-04,"Cardiff and Vale University Health Board",170,452,729,1351,29,11,23,63
2020-04-04,"Cwm Taf University Health Board",122,371,441,934,24,5,23,52
2020-04-04,"Aneurin Bevan University Health Board",219,294,655,1168,33,2,16,51
2020-04-04,"Velindre University NHS Trust",8,4,18,30,0,0,0,0
