"date","health_board","percent_beds_in_use_covid"
2020-04-01,"Betsi Cadwaladr University Health Board",0.0828173374613003
2020-04-01,"Hywel Dda University Health Board",0.0838117106773823
2020-04-01,"Abertawe Bro Morgannwg University Health Board",0.108945969884854
2020-04-01,"Cardiff and Vale University Health Board",0.125176803394625
2020-04-01,"Cwm Taf University Health Board",0.126117179741807
2020-04-01,"Aneurin Bevan University Health Board",0.231173380035026
2020-04-01,"Velindre University NHS Trust",0.366666666666667
2020-04-01,"Wales",0.128104575163399
2020-04-02,"Betsi Cadwaladr University Health Board",0.0656877897990726
2020-04-02,"Hywel Dda University Health Board",0.0842824601366743
2020-04-02,"Abertawe Bro Morgannwg University Health Board",0.12589928057554
2020-04-02,"Cardiff and Vale University Health Board",0.130714285714286
2020-04-02,"Cwm Taf University Health Board",0.136852394916911
2020-04-02,"Aneurin Bevan University Health Board",0.200172562553926
2020-04-02,"Velindre University NHS Trust",0.366666666666667
2020-04-02,"Wales",0.125435034802784
2020-04-03,"Betsi Cadwaladr University Health Board",0.0765069551777434
2020-04-03,"Hywel Dda University Health Board",0.0918484500574053
2020-04-03,"Abertawe Bro Morgannwg University Health Board",0.132444444444444
2020-04-03,"Cardiff and Vale University Health Board",0.129420084865629
2020-04-03,"Cwm Taf University Health Board",0.142292490118577
2020-04-03,"Aneurin Bevan University Health Board",0.20926243567753
2020-04-03,"Velindre University NHS Trust",0.4
2020-04-03,"Wales",0.131799768518519
2020-04-04,"Betsi Cadwaladr University Health Board",0.0791698693312836
2020-04-04,"Hywel Dda University Health Board",0.0747663551401869
2020-04-04,"Abertawe Bro Morgannwg University Health Board",0.138030888030888
2020-04-04,"Cardiff and Vale University Health Board",0.140735502121641
2020-04-04,"Cwm Taf University Health Board",0.148073022312373
2020-04-04,"Aneurin Bevan University Health Board",0.206726825266612
2020-04-04,"Velindre University NHS Trust",0.266666666666667
2020-04-04,"Wales",0.133732826658872
2020-04-05,"Betsi Cadwaladr University Health Board",0.0989282769991756
2020-04-05,"Hywel Dda University Health Board",0.0893066980023502
2020-04-05,"Abertawe Bro Morgannwg University Health Board",0.193729003359462
2020-04-05,"Cardiff and Vale University Health Board",0.135077793493635
2020-04-05,"Cwm Taf University Health Board",0.158906882591093
2020-04-05,"Aneurin Bevan University Health Board",0.2264631043257
2020-04-05,"Velindre University NHS Trust",0.2
2020-04-05,"Wales",0.150730816077954
2020-04-06,"Betsi Cadwaladr University Health Board",0.0954732510288066
2020-04-06,"Hywel Dda University Health Board",0.102298850574713
2020-04-06,"Abertawe Bro Morgannwg University Health Board",0.209080047789725
2020-04-06,"Cardiff and Vale University Health Board",0.149085794655415
2020-04-06,"Cwm Taf University Health Board",0.184210526315789
2020-04-06,"Aneurin Bevan University Health Board",0.223070398642918
2020-04-06,"Velindre University NHS Trust",0.225806451612903
2020-04-06,"Wales",0.159584225007643
2020-04-07,"Betsi Cadwaladr University Health Board",0.0937019969278034
2020-04-07,"Hywel Dda University Health Board",0.0979955456570156
2020-04-07,"Abertawe Bro Morgannwg University Health Board",0.257104194857916
2020-04-07,"Cardiff and Vale University Health Board",0.150636492220651
2020-04-07,"Cwm Taf University Health Board",0.189759036144578
2020-04-07,"Aneurin Bevan University Health Board",0.207803223070399
2020-04-07,"Velindre University NHS Trust",0.233333333333333
2020-04-07,"Wales",0.160719731625496
2020-04-08,"Betsi Cadwaladr University Health Board",0.106269113149847
2020-04-08,"Hywel Dda University Health Board",0.103057757644394
2020-04-08,"Abertawe Bro Morgannwg University Health Board",0.236238532110092
2020-04-08,"Cardiff and Vale University Health Board",0.164780763790665
2020-04-08,"Cwm Taf University Health Board",0.200196270853778
2020-04-08,"Aneurin Bevan University Health Board",0.233918128654971
2020-04-08,"Velindre University NHS Trust",0.233333333333333
2020-04-08,"Wales",0.172542019931578
2020-04-09,"Betsi Cadwaladr University Health Board",0.110599078341014
2020-04-09,"Hywel Dda University Health Board",0.106575963718821
2020-04-09,"Abertawe Bro Morgannwg University Health Board",0.253121452894438
2020-04-09,"Cardiff and Vale University Health Board",0.160764872521246
2020-04-09,"Cwm Taf University Health Board",0.187751004016064
2020-04-09,"Aneurin Bevan University Health Board",0.23582580115037
2020-04-09,"Velindre University NHS Trust",0.2
2020-04-09,"Wales",0.173809523809524
