"date","health_board","lockdown_status","hosp_type","covid_status","count"
2020-04-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,648
2020-04-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",123
2020-04-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",49
2020-04-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",74
2020-04-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,525
2020-04-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,689
2020-04-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",140
2020-04-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",59
2020-04-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",81
2020-04-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,549
2020-04-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,667
2020-04-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",149
2020-04-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",72
2020-04-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",77
2020-04-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,518
2020-04-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,723
2020-04-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",143
2020-04-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",78
2020-04-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",65
2020-04-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,580
2020-04-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,706
2020-04-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",173
2020-04-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",105
2020-04-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",68
2020-04-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,533
2020-04-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,591
2020-04-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",175
2020-04-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",112
2020-04-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",63
2020-04-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,416
2020-04-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,597
2020-04-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",190
2020-04-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",138
2020-04-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",52
2020-04-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,407
2020-04-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,549
2020-04-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",206
2020-04-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",151
2020-04-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",55
2020-04-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,343
2020-04-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,588
2020-04-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",223
2020-04-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",158
2020-04-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",65
2020-04-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,365
2020-04-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,638
2020-04-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",259
2020-04-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",189
2020-04-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",70
2020-04-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,379
2020-04-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,497
2020-04-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",207
2020-04-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",157
2020-04-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",50
2020-04-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,290
2020-04-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,391
2020-04-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",228
2020-04-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",170
2020-04-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",58
2020-04-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,163
2020-04-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,548
2020-04-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",227
2020-04-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",162
2020-04-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",65
2020-04-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,321
2020-04-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,586
2020-04-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",229
2020-04-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",177
2020-04-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",52
2020-04-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,357
2020-04-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,565
2020-04-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",236
2020-04-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",174
2020-04-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",62
2020-04-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,329
