"date","health_board","admission_type","count","covid_status"
2020-04-01,"Betsi Cadwaladr University Health Board","All",768,NA
2020-04-01,"Betsi Cadwaladr University Health Board","C19",107,"All"
2020-04-01,"Betsi Cadwaladr University Health Board","C19_Con",29,"Confirmed"
2020-04-01,"Betsi Cadwaladr University Health Board","C19_Sus",78,"Suspected"
2020-04-01,"Betsi Cadwaladr University Health Board","NonC19",661,NA
2020-04-01,"Hywel Dda University Health Board","All",394,NA
2020-04-01,"Hywel Dda University Health Board","C19",73,"All"
2020-04-01,"Hywel Dda University Health Board","C19_Con",31,"Confirmed"
2020-04-01,"Hywel Dda University Health Board","C19_Sus",42,"Suspected"
2020-04-01,"Hywel Dda University Health Board","NonC19",321,NA
2020-04-01,"Abertawe Bro Morgannwg University Health Board","All",648,NA
2020-04-01,"Abertawe Bro Morgannwg University Health Board","C19",123,"All"
2020-04-01,"Abertawe Bro Morgannwg University Health Board","C19_Con",49,"Confirmed"
2020-04-01,"Abertawe Bro Morgannwg University Health Board","C19_Sus",74,"Suspected"
2020-04-01,"Abertawe Bro Morgannwg University Health Board","NonC19",525,NA
2020-04-01,"Cardiff and Vale University Health Board","All",700,NA
2020-04-01,"Cardiff and Vale University Health Board","C19",177,"All"
2020-04-01,"Cardiff and Vale University Health Board","C19_Con",140,"Confirmed"
2020-04-01,"Cardiff and Vale University Health Board","C19_Sus",37,"Suspected"
2020-04-01,"Cardiff and Vale University Health Board","NonC19",523,NA
2020-04-01,"Cwm Taf University Health Board","All",620,NA
2020-04-01,"Cwm Taf University Health Board","C19",127,"All"
2020-04-01,"Cwm Taf University Health Board","C19_Con",59,"Confirmed"
2020-04-01,"Cwm Taf University Health Board","C19_Sus",68,"Suspected"
2020-04-01,"Cwm Taf University Health Board","NonC19",493,NA
2020-04-01,"Aneurin Bevan University Health Board","All",616,NA
2020-04-01,"Aneurin Bevan University Health Board","C19",264,"All"
2020-04-01,"Aneurin Bevan University Health Board","C19_Con",167,"Confirmed"
2020-04-01,"Aneurin Bevan University Health Board","C19_Sus",97,"Suspected"
2020-04-01,"Aneurin Bevan University Health Board","NonC19",352,NA
2020-04-01,"Velindre University NHS Trust","All",12,NA
2020-04-01,"Velindre University NHS Trust","C19",11,"All"
2020-04-01,"Velindre University NHS Trust","C19_Con",8,"Confirmed"
