"date","health_board","prop_lockdown","lockdown_status","proportion_lockdown"
2020-04-01,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-02,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-03,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-04,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-05,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-06,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-07,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-08,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-09,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-10,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-11,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-12,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-13,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-14,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-15,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-16,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-17,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-18,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-19,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-20,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-21,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-22,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-23,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-24,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-25,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-26,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-27,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-28,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-29,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-04-30,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-01,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-02,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-03,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-04,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-05,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-06,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-07,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-08,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-09,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-10,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-11,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-12,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-13,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-14,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-15,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-16,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-17,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-18,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-19,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-20,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-21,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-22,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-23,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-24,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-25,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-26,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-27,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-28,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-29,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-30,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-05-31,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-01,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-02,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-03,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-04,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-05,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-06,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-07,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
